Area,"CO2 (Mt)",Sector,Date
France,2.326892,"Domestic Aviation",2019
France,116.619405,"Ground Transport",2019
France,61.666711,Industry,2019
France,8.531127,"International Aviation",2019
France,29.433607,Power,2019
France,79.870398,Residential,2019
France,289.917012,Total,2019
France,1.465803,"Domestic Aviation",2020
France,105.095109,"Ground Transport",2020
France,54.630481,Industry,2020
France,3.569406,"International Aviation",2020
France,27.056088,Power,2020
France,76.023958,Residential,2020
France,264.271438,Total,2020
France,1.844038,"Domestic Aviation",2021
France,118.219394,"Ground Transport",2021
France,57.747960,Industry,2021
France,4.334792,"International Aviation",2021
France,26.311744,Power,2021
France,83.619198,Residential,2021
France,287.742334,Total,2021
France,2.254084,"Domestic Aviation",2022
France,118.804892,"Ground Transport",2022
France,58.760979,Industry,2022
France,6.999146,"International Aviation",2022
France,33.096985,Power,2022
France,75.820414,Residential,2022
France,288.737332,Total,2022
France,2.165771,"Domestic Aviation",2023
France,120.183011,"Ground Transport",2023
France,59.084862,Industry,2023
France,8.104926,"International Aviation",2023
France,22.165419,Power,2023
France,75.718569,Residential,2023
France,279.317605,Total,2023
France,2.093947,"Domestic Aviation",2024
France,120.136312,"Ground Transport",2024
France,58.939995,Industry,2024
France,8.549166,"International Aviation",2024
France,13.966241,Power,2024
France,78.842338,Residential,2024
France,273.978839,Total,2024
